account,account_country,budget_level
AB,EU,Cash reserve P
Alelo,BR,Cash reserve P
Avenue,US,Investments
BB,BR,Cash reserve P
BNB,BR,Investments
BT,BR,Investments
BlockFi,US,Investments
Caju,BR,Cash reserve P
Coverflex,EU,Cash reserve P
Dasha,BR,Cash reserve D
Nubank D,BR,Cash reserve D
Degiro,EU,Investments
Easy,BR,Investments
Kraken,EU,Investments
Ledger,US,Investments
MetaMask,US,Investments
N26,EU,Cash reserve P
Nu,BR,Investments
Payoneer,US,Cash reserve D
Phantom,US,Investments
Ronin,US,Investments
T212,EU,Investments
Wise,EU,Cash reserve P
Wise D,EU,Cash reserve D